State,APMC,Commodity,Min Price (Rs.),Modal Price (Rs.),Max Price (Rs.),Arrivals,Traded Quantity,Unit,Date,APMC_Selected,Commodity_Selected
GUJARAT,BODELI,COTTON,"6,501","7,380","7,411",972,972,Qui,18-04-2025,BODELI,
GUJARAT,BODELI,COTTON,"6,801","7,410","7,451",846,846,Qui,17-04-2025,BODELI,
No record Found.,BORSAD,
No record Found.,BOTAD,
GUJARAT,CHIKHLI APMC,CHIKOOS,"1,210","1,465","1,805",34,21,Qui,17-04-2025,CHIKHLI APMC,
No record Found.,CHOTILA APMC,
No record Found.,DABHOI APMC,
No record Found.,DAHOD,
No record Found.,DEDIYAPADA APMC,
No record Found.,DEESA,
GUJARAT,DEHGAM,WHEAT,"2,520","2,580","2,760",660,660,Qui,17-04-2025,DEHGAM,
GUJARAT,DEHGAM,WHEAT,"2,515","2,535","2,630",495,495,Qui,18-04-2025,DEHGAM,
GUJARAT,DEHGAM,CASTOR SEED,"5,975","6,055","6,055",338,338,Qui,18-04-2025,DEHGAM,
GUJARAT,DEHGAM,CASTOR SEED,"5,970","6,000","6,035",173,173,Qui,17-04-2025,DEHGAM,
GUJARAT,DEVGADHBARIA APMC,PADDY LOCAL,"1,610","1,620","1,620",12,12,Qui,17-04-2025,DEVGADHBARIA APMC,
No record Found.,DHANDHUKA APMC,
GUJARAT,DHANERA,MUSTARD,"5,180","5,500","5,740",273,273,Qui,18-04-2025,DHANERA,
GUJARAT,DHANERA,CASTOR SEED,"6,015","6,015","6,175",137,137,Qui,17-04-2025,DHANERA,
GUJARAT,DHARI,WHEAT,"2,280","2,335","2,335",32,33,Qui,17-04-2025,DHARI,
GUJARAT,DHARI,WHEAT,"2,335","2,335","2,385",25,26,Qui,18-04-2025,DHARI,
GUJARAT,DHARI,BENGAL GRAM LOCAL,"2,325","5,405","5,420",13,12,Qui,18-04-2025,DHARI,
GUJARAT,DHARI,BENGAL GRAM LOCAL,"5,300","8,230","8,230",13,12,Qui,17-04-2025,DHARI,
GUJARAT,DHARI,TUR/ARHAR-WHITE,"6,680","6,680","6,800",8,9,Qui,18-04-2025,DHARI,
GUJARAT,DHARI,SOYABEANS,"4,255","4,255","4,255",5,5,Qui,17-04-2025,DHARI,
GUJARAT,DHARI,CASTOR SEED,"5,775","5,775","5,775",2,3,Qui,17-04-2025,DHARI,
GUJARAT,DHARI,TUR/ARHAR-WHITE,"6,000","6,505","6,505",3,3,Qui,17-04-2025,DHARI,
GUJARAT,DHARI,CORIANDAR,"6,445","6,445","6,445",3,3,Qui,17-04-2025,DHARI,
No record Found.,DHOALKA,
No record Found.,DHORAJI,
GUJARAT,DHROL,CHANA GRAM,"4,775","5,330","5,450",36,35,Qui,17-04-2025,DHROL,
GUJARAT,DHROL,COTTON,"7,140","7,280","7,340",28,28,Qui,17-04-2025,DHROL,
GUJARAT,DHROL,WHEAT,"1,900","1,900","1,900",50,7,Qui,17-04-2025,DHROL,
GUJARAT,DHROL,GROUND NUT,"5,175","5,175","5,175",6,6,Qui,17-04-2025,DHROL,
GUJARAT,FATEHPURA APMC,WHEAT,"2,510","2,510","2,510",41,41,Qui,18-04-2025,FATEHPURA APMC,
GUJARAT,FATEHPURA APMC,CHANA,"5,560","5,560","5,560",9,9,Qui,18-04-2025,FATEHPURA APMC,
No record Found.,GADHADA,
No record Found.,GANDHINAGAR APMC,
No record Found.,GARIYADHAR APMC,
No record Found.,GODHRA,
No record Found.,GONDAL,
GUJARAT,HALVAD,CUMMIN,"18,555","19,588","22,022",120,120,Qui,18-04-2025,HALVAD,
GUJARAT,HALVAD,CUMMIN,"17,858","19,969","19,969",64,64,Qui,17-04-2025,HALVAD,
